205-40-17 84W
205-40-18 86Y
205-45-16 87W
205-45-17 88W
205-50-17 93Y
215-35-18 84Y
215-45-17 91Y
215-45-18 93Y
225-35-18 87Y
225-40-18 92Y
225-45-17 94Y
225-45-18 95Y
235-35-19 91Y
235-40-18 95Y
235-40-19 96Y
235-45-17 97Y
235-45-18 98Y
245-35-18 92Y
245-40-17 95Y
245-40-18 97Y
245-40-19 98Y
245-40-20 95Y
245-45-17 99Y
245-45-18 100Y
245-45-19 102Y
255-35-19 96Y
255-40-18 99Y
255-40-19 100Y
255-45-17 98W
255-45-18 103W
255-45-19 104Y
265-35-18 97Y
265-35-19 98Y
265-45-21 104W
275-35-19 100Y
275-35-20 102Y
275-40-18 103Y
275-40-19 105Y
275-45-18 107Y
285-35-18 101Y
285-40-19 107Y
